what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.team.core,3.5.1.r35x_20100113-0800,"org.eclipse.team.core",1310421320969
started,bundle,org.eclipse.team.cvs.core,3.3.200.I20090430-0408,"org.eclipse.team.cvs.core",1310421320970
started,bundle,org.eclipse.team.cvs.ui,3.3.202.r35x_20090930-0800,"org.eclipse.team.cvs.ui",1310421320974
started,bundle,org.eclipse.team.ui,3.5.0.I20090430-0408,"org.eclipse.team.ui",1310421320975
started,bundle,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui",1310421320977
started,bundle,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console",1310421320978
started,bundle,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.editors",1310421320979
started,bundle,org.eclipse.ui.forms,3.4.1.v20090714_35x,"org.eclipse.ui.forms",1310421320980
started,bundle,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.ide",1310421320983
started,bundle,org.eclipse.ui.navigator,3.4.2.M20100120-0800,"org.eclipse.ui.navigator",1310421320983
started,bundle,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.resources",1310421320984
started,bundle,org.eclipse.ui.net,1.2.1.r35x_20090812-1200,"org.eclipse.ui.net",1310421320988
started,bundle,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views",1310421320990
started,bundle,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"org.eclipse.ui.workbench",1310421320991
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.workbench.texteditor",1310421320991
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1310421320993
os,sysinfo,,,"macosx",1310421320997
arch,sysinfo,,,"x86",1310421320997
ws,sysinfo,,,"cocoa",1310421320997
locale,sysinfo,,,"en_US",1310421320997
processors,sysinfo,,,"2",1310421320997
java.runtime.name,sysinfo,,,"Java(TM) 2 Runtime Environment, Standard Edition",1310421320997
java.runtime.version,sysinfo,,,"1.5.0_28-b04-382-9M3326",1310421320997
java.specification.name,sysinfo,,,"Java Platform API Specification",1310421320997
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1310421320997
java.specification.version,sysinfo,,,"1.5",1310421320997
java.vendor,sysinfo,,,"Apple Inc.",1310421320997
java.version,sysinfo,,,"1.5.0_28",1310421320997
java.vm.info,sysinfo,,,"mixed mode",1310421320997
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1310421320997
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1310421320997
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1310421320997
java.vm.specification.version,sysinfo,,,"1.0",1310421320997
java.vm.vendor,sysinfo,,,"Apple Inc.",1310421320997
java.vm.version,sysinfo,,,"1.5.0_28-157",1310421320997
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1310421321051
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1310421321069
started,bundle,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui",1310421334283
started,bundle,org.eclipse.cdt.debug.core,6.0.0.201002161416,"org.eclipse.cdt.debug.core",1310421334341
started,bundle,org.eclipse.cdt.debug.ui,6.0.0.201002161416,"org.eclipse.cdt.debug.ui",1310421334349
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20090504,"org.eclipse.ui.externaltools",1310421334361
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1310421334399
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1310421334789
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1310421344576
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1310421347539
executed,command,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.project.buildProject",1310421354313
opened,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1310421354657
activated,view,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.views.ProblemView",1310421358043
opened,view,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.views.TaskList",1310421358911
activated,view,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.views.TaskList",1310421358921
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1310421360002
opened,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.PropertySheet",1310421364305
activated,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.PropertySheet",1310421364318
activated,view,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.views.ProblemView",1310421365371
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1310421366720
started,bundle,org.eclipse.ui.views.properties.tabbed,3.5.0.I20090429-1800,"org.eclipse.ui.views.properties.tabbed",1310421366723
started,bundle,org.eclipse.search,3.5.1.r351_v20090708-0800,"org.eclipse.search",1310421380208
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1310421380558
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1310421384652
executed,command,org.eclipse.search,3.5.1.r351_v20090708-0800,"org.eclipse.search.ui.openSearchDialog",1310421384675
closed,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1310421398365
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.restartWorkbench",1310421398762
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.0.0.201002161416,"org.eclipse.cdt.debug.mi.ui",1310421398819
stopped,bundle,org.eclipse.cdt.debug.mi.core,6.0.0.201002161416,"org.eclipse.cdt.debug.mi.core",1310421398820
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.0.0.201002161416,"org.eclipse.cdt.dsf.gdb.ui",1310421398821
stopped,bundle,org.eclipse.cdt.dsf.ui,2.0.1.201002161416,"org.eclipse.cdt.dsf.ui",1310421398822
stopped,bundle,org.eclipse.cdt.launch,6.0.0.201002161416,"org.eclipse.cdt.launch",1310421398822
stopped,bundle,org.eclipse.cdt.debug.ui,6.0.0.201002161416,"org.eclipse.cdt.debug.ui",1310421398822
stopped,bundle,org.eclipse.cdt.dsf.gdb,2.0.0.201002161416,"org.eclipse.cdt.dsf.gdb",1310421398823
stopped,bundle,org.eclipse.cdt.dsf,2.0.0.201002161416,"org.eclipse.cdt.dsf",1310421398826
stopped,bundle,org.eclipse.cdt.debug.core,6.0.0.201002161416,"org.eclipse.cdt.debug.core",1310421398826
stopped,bundle,org.eclipse.cdt.managedbuilder.ui,5.1.0.201002161416,"org.eclipse.cdt.managedbuilder.ui",1310421398826
