what,kind,bundleId,bundleVersion,description,time
java.vm.vendor,sysinfo,,,"Apple Inc.",1310422686456
java.vm.version,sysinfo,,,"1.5.0_28-157",1310422686456
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1310422687556
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1310422696624
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1310422700434
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1310422700452
closed,view,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.internal.introview",1310422700462
started,bundle,org.eclipse.cdt.managedbuilder.ui,5.1.0.201002161416,"org.eclipse.cdt.managedbuilder.ui",1310422708383
started,bundle,org.eclipse.cdt.managedbuilder.core,6.0.0.201002161416,"org.eclipse.cdt.managedbuilder.core",1310422708400
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,5.0.100.201002161416,"org.eclipse.cdt.managedbuilder.gnu.ui",1310422708577
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1310422708924
started,bundle,org.eclipse.cdt.make.core,6.0.0.201002161416,"org.eclipse.cdt.make.core",1310422734654
started,bundle,org.eclipse.core.variables,3.2.200.v20090521,"org.eclipse.core.variables",1310422734711
started,bundle,org.eclipse.debug.core,3.5.1.v20091103_r352,"org.eclipse.debug.core",1310422734754
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1310422735088
opened,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1310422735571
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1310422741312
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1310422744762
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1310422750634
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1310422770685
executed,command,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.edit.text.openLocalFile",1310422770690
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1310422783775
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1310422815377
started,bundle,org.eclipse.search,3.5.1.r351_v20090708-0800,"org.eclipse.search",1310422815514
started,bundle,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui",1310422815684
started,bundle,org.eclipse.cdt.debug.core,6.0.0.201002161416,"org.eclipse.cdt.debug.core",1310422815718
started,bundle,org.eclipse.cdt.debug.ui,6.0.0.201002161416,"org.eclipse.cdt.debug.ui",1310422815724
started,bundle,org.eclipse.compare.core,3.5.0.I20090430-0408,"org.eclipse.compare.core",1310422816411
opened,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1310422816454
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1310422816593
executed,command,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.edit.text.openLocalFile",1310422816603
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1310422820165
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1310422851992
opened,editor,org.eclipse.cdt.make.ui,6.0.1.201002161416,"org.eclipse.cdt.make.editor",1310422852091
activated,editor,org.eclipse.cdt.make.ui,6.0.1.201002161416,"org.eclipse.cdt.make.editor",1310422852149
executed,command,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.edit.text.openLocalFile",1310422852153
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1310422854609
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1310422858050
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1310422889185
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1310422889339
activated,editor,org.eclipse.cdt.make.ui,6.0.1.201002161416,"org.eclipse.cdt.make.editor",1310422891465
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1310422896681
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1310422899459
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1310422899538
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1310422903240
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1310422925341
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1310422936176
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1310422937886
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1310422939674
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1310423011362
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1310423013929
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1310423266475
activated,editor,org.eclipse.cdt.make.ui,6.0.1.201002161416,"org.eclipse.cdt.make.editor",1310423271766
closed,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1310423271798
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1310423273730
closed,editor,org.eclipse.cdt.make.ui,6.0.1.201002161416,"org.eclipse.cdt.make.editor",1310423273731
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1310423278841
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1310423318067
